date,publishTime,publishTimeRaw,currency,buying,cashBuying,selling,cashSelling,middle,source,capturedAtUtc
2026-09-01,2026-09-01 02:50:03,2026/09/01 02:50:03,USD,671,671,673.83,673.83,678.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-08-31 19:42:43
2026-09-01,2026-09-01 06:50:02,2026/09/01 06:50:02,USD,671,671,673.83,673.83,678.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-08-31 23:25:55
2026-09-01,2026-09-01 09:55:58,2026/09/01 09:55:58,USD,670.82,670.82,673.65,673.65,678.09,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-09-01 01:58:31
2026-09-01,2026-09-01 15:35:59,2026/09/01 15:35:59,USD,671.01,671.01,673.84,673.84,678.09,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-09-01 07:40:33
2026-09-01,2026-09-01 20:41:01,2026/09/01 20:41:01,USD,671.03,671.03,673.86,673.86,678.09,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-09-01 12:45:31
2026-09-02,2026-09-02 00:56:02,2026/09/02 00:56:02,USD,670.88,670.88,673.71,673.71,678.09,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-09-01 16:58:31
2026-09-02,2026-09-02 02:50:46,2026/09/02 02:50:46,USD,671.05,671.05,673.88,673.88,678.09,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-09-01 19:50:27
2026-09-02,2026-09-02 05:30:00,2026/09/02 05:30:00,USD,671.05,671.05,673.88,673.88,678.09,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-09-01 22:09:03
