date,publishTime,publishTimeRaw,currency,buying,cashBuying,selling,cashSelling,middle,source,capturedAtUtc
2026-05-01,2026-05-01 00:03:34,2026/05/01 00:03:34,USD,681.87,681.87,684.74,684.74,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-04-30 16:05:36
2026-05-01,2026-05-01 01:38:35,2026/05/01 01:38:35,USD,682.16,682.16,685.03,685.03,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-04-30 17:41:51
2026-05-01,2026-05-01 02:52:55,2026/05/01 02:52:55,USD,682.4,682.4,685.27,685.27,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-04-30 18:58:24
2026-05-01,2026-05-01 05:30:00,2026/05/01 05:30:00,USD,682.4,682.4,685.27,685.27,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-04-30 22:13:53
2026-05-01,2026-05-01 06:40:33,2026/05/01 06:40:33,USD,682.4,682.4,685.27,685.27,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-04-30 23:12:42
2026-05-01,2026-05-01 07:48:21,2026/05/01 07:48:21,USD,682.4,682.4,685.27,685.27,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 00:07:58
2026-05-01,2026-05-01 12:13:37,2026/05/01 12:13:37,USD,682.4,682.4,685.27,685.27,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 04:15:31
2026-05-01,2026-05-01 14:45:34,2026/05/01 14:45:34,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 06:47:07
2026-05-01,2026-05-01 16:48:38,2026/05/01 16:48:38,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 08:51:56
2026-05-01,2026-05-01 18:13:39,2026/05/01 18:13:39,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 10:17:28
2026-05-01,2026-05-01 19:33:39,2026/05/01 19:33:39,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 11:34:56
2026-05-01,2026-05-01 20:33:39,2026/05/01 20:33:39,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 12:39:35
2026-05-01,2026-05-01 21:13:39,2026/05/01 21:13:39,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 14:05:47
2026-05-01,2026-05-01 22:59:36,2026/05/01 22:59:36,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 15:13:50
2026-05-02,2026-05-02 00:00:05,2026/05/02 00:00:05,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 16:13:10
2026-05-02,2026-05-02 05:30:00,2026/05/02 05:30:00,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-01 21:32:54
2026-05-02,2026-05-02 10:30:00,2026/05/02 10:30:00,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-02 04:29:12
2026-05-03,2026-05-03 00:00:05,2026/05/03 00:00:05,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-02 16:26:02
2026-05-03,2026-05-03 05:30:00,2026/05/03 05:30:00,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-02 21:42:33
2026-05-03,2026-05-03 10:30:00,2026/05/03 10:30:00,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-03 04:04:19
2026-05-04,2026-05-04 00:00:05,2026/05/04 00:00:05,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-03 16:24:36
2026-05-04,2026-05-04 05:30:00,2026/05/04 05:30:00,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-03 21:53:48
2026-05-04,2026-05-04 07:16:24,2026/05/04 07:16:24,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-03 23:27:28
2026-05-04,2026-05-04 09:13:54,2026/05/04 09:13:54,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-04 01:16:52
2026-05-04,2026-05-04 12:48:55,2026/05/04 12:48:55,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-04 04:51:16
2026-05-04,2026-05-04 15:38:55,2026/05/04 15:38:55,USD,682.25,682.25,685.12,685.12,686.28,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html,2026-05-04 07:42:50
